mint,state,size_sol,entry_price,exit_price,exit_reason,gross_pnl_sol,fees_sol,net_pnl_sol,pnl_pct,mfe_pct,mae_pct,hold_ms,exit_trigger_to_confirm_ms,entry_soft_score,high_volatility,feed_source,venue,slippage_sol,mode,relaxed_risk,relaxed_reasons_json,opened_at,closed_at,entry_tx,exit_tx
48n3WfUWrzQ6mNzwqNDFNVVvFLQBWn3bCHuTEsXPpump,CLOSED,0.03,3.2664613407844984e-7,3.783408858338112e-7,TAKE_PROFIT_1,0.004747775622804026,0.0005797985154172911,0.004167977107386736,13.893257024622452,15.8259187426801,-0.2392519211223768,95534,,85,0,,,0.000029798515417291016,dry-run,0,,2026-09-23T20:25:40.607Z,2026-09-23T20:27:16.141Z,,
7LsPefT1ihtsVu9AgZyk5dHr5iLLHgz2RHjiiFnzpump,CLOSED,0.03,3.1638285888678883e-7,3.7711553251376653e-7,TAKE_PROFIT_1,0.00575878293539692,0.0005810423164623407,0.005177740618934579,17.259135396448595,19.19594311798973,-9.920130600713275,19667,,69,0,laserstream,pumpswap,0.00003104231646234075,dry-run,0,,2026-09-23T20:28:18.526Z,2026-09-23T20:28:38.193Z,,
Ecd1yuU5S6nVeLFYAQmx1A9oz3DHB97JFiaxD12ynLdn,CLOSED,0.03,3.309457850922473e-7,3.9684273671175207e-7,TAKE_PROFIT_1,0.005973511788446264,0.0005804247140759135,0.0053930870743703506,17.976956914567836,19.911705961487552,-4.309924570121802,13026,,85,0,,,0.000030424714075913477,dry-run,0,,2026-09-23T20:29:13.195Z,2026-09-23T20:29:26.221Z,,
EobYjxnJp2z9gxbPEbWyZQHyyvdoL2GWi5gPWFB7pump,CLOSED,0.03,3.4000223616113694e-7,2.577321329279561e-7,STOP_LOSS,-0.007259079013308955,0.00057177757551486,-0.007830856588823815,-26.102855296079387,8.443326285012208,-24.19693004436319,2491,,85,0,,,0.000021777575514860037,dry-run,0,,2026-09-23T20:30:31.916Z,2026-09-23T20:30:34.407Z,,
CnK6i3q2uC5aNhLK9xyV8DTtQffi3e9D5qAERGSKpump,CLOSED,0.03,3.257895309231513e-7,2.3486892671103641e-7,STOP_LOSS,-0.008372332034840153,0.0005716840051136394,-0.008944016039953793,-29.813386799845976,6.336875765134745,-27.90777344946718,4398,,85,0,,,0.000021684005113639385,dry-run,0,,2026-09-23T20:32:54.586Z,2026-09-23T20:32:58.984Z,,
BqZ3e2obdCs6uditUdgp6fWRqTKqjYm14FgkMpHzpump,CLOSED,0.03,3.387552399194644e-7,3.507663450962007e-7,TRAILING_STOP,0.0010636976578952838,0.0005767833236164524,0.00048691433427883136,1.623047780929438,12.964042505484677,-11.068627663938607,11679,,85,0,,,0.000026783323616452403,dry-run,0,,2026-09-23T20:33:34.332Z,2026-09-23T20:33:46.011Z,,
ConNqkD2qLeUcBDPtHduZ26uCBrqAkwPmVL6Db6M1iz4,CLOSED,0.03,4.193602094843354e-7,6.012732435121003e-7,TAKE_PROFIT_1,0.0130136119197947,0.0005811718487458829,0.012432440071048817,41.441466903496064,43.37870639931566,-6.597993029390365,3007,,78,0,laserstream,pumpswap,0.00003117184874588287,dry-run,0,,2026-09-23T20:34:32.914Z,2026-09-23T20:34:35.921Z,,
6qWdtanpAPJpVvc3AYGvdQUz3MLtcAGXKkbwcDMFpump,CLOSED,0.03,3.288283753708944e-7,1.2725455378675025e-7,EMERGENCY_EXIT,-0.01839018497325089,0.0005667028379776474,-0.018956887811228538,-63.18962603742846,0.4589647321008015,-61.30061657750295,4553,,85,0,helius-ws,pumpswap,0.000016702837977647403,dry-run,0,,2026-09-23T20:41:52.560Z,2026-09-23T20:41:57.113Z,,
7WRVVdto8yd2yrXRffxczGV1A5j2WddU6F3vMouzpump,CLOSED,0.03,3.2578953260512325e-7,2.3572494427415496e-7,STOP_LOSS,-0.008293506633940758,0.0005717260543023002,-0.008865232688243059,-29.55077562747686,10.961886089041842,-27.645022113135866,7304,,85,0,,,0.00002172605430230024,dry-run,0,,2026-09-23T20:48:09.237Z,2026-09-23T20:48:16.541Z,,
XQvVFz2jrrqFvhdG4NRd2o9xCQci9Xn9nGYVumBpump,CLOSED,0.015,3.2578953278878684e-7,3.7985997429054355e-7,TAKE_PROFIT_1,0.002489510990680501,0.0004825028192047446,0.0020070081714757566,13.380054476505043,16.596739937870016,0,3318,,85,0,,,0.000007502819204744603,dry-run,1,"[""relaxed_h6_creator""]",2026-09-23T20:52:02.677Z,2026-09-23T20:52:05.995Z,,
H2jAV8NJR9eRLQLysiLqfrC1aHW9cYV3n7A49vj9pump,CLOSED,0.015,3.257895357805703e-7,2.7334729240504085e-7,STOP_LOSS,-0.002414545478719013,0.0004809293379817096,-0.0028954748167007226,-19.303165444671485,0,-16.096969858126748,445,,85,0,,,0.000005929337981709621,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T20:56:59.401Z,2026-09-23T20:56:59.846Z,,
FLyzixQCC1osJxi3uhQAntuKvgDZ1pUAiDEobi8z9MNL,CLOSED,0.03,3.4490293594419983e-7,4.144019179365523e-7,TAKE_PROFIT_1,0.006045090494990421,0.0005797858128271831,0.005465304682163238,18.21768227387746,20.150301649968082,0,10444,,85,0,,,0.000029785812827183138,dry-run,0,,2026-09-23T21:05:35.963Z,2026-09-23T21:05:46.407Z,,
EYJJ3QGBHW7ePaag8vYEnNCURSNJDPLD5VpcCc3Ppump,CLOSED,0.03,3.2159505661114653e-7,3.705544737962497e-7,TAKE_PROFIT_1,0.004567180015235928,0.000579935643142872,0.003987244372093055,13.290814573643516,15.223933384119753,-11.78723507555869,25015,,85,0,laserstream,pumpswap,0.00002993564314287199,dry-run,0,,2026-09-23T21:14:49.323Z,2026-09-23T21:15:14.338Z,,
64FityyBGWXC1Rc89kBRT8dNEwrXCskGBCnfGy3Mpump,CLOSED,0.03,3.785656941388931e-7,4.448481340382167e-7,TAKE_PROFIT_1,0.005252650273825794,0.0005777833047722886,0.004674866969053506,15.582889896845021,17.50883424608598,0,17569,,73,0,laserstream,pumpswap,0.000027783304772288503,dry-run,0,,2026-09-23T21:26:20.756Z,2026-09-23T21:26:38.325Z,,
7P1UwwN2HmMrBuXgiN1VPruLY7rsWmK6QHZ9bAoSpump,CLOSED,0.03,4.777854035095706e-7,4.001213634895381e-7,STOP_LOSS,-0.00487650142404215,0.0005691518504557405,-0.00544565327449789,-18.152177581659632,0,-16.25500474680716,3544,,80,0,laserstream,pumpswap,0.00001915185045574052,dry-run,0,,2026-09-23T21:27:45.813Z,2026-09-23T21:27:49.357Z,,
